!!!	국가	미국
!!!	장르	댄스 펑크
!!!	장르	인디 록
샤티용라팔뤼	행정구역	오베르뉴론알프
샤티용앙미셰유	국가	프랑스
샤티용앙미셰유	행정구역	낭튀아 아롱디스망
샤티용앙미셰유	행정구역	오베르뉴론알프
샤하브-3	사용자	이란
샤하브-3	제작	이란
샤흐조다	국적	우즈베키스탄
샤흐조다	직책	가수
샤흐티	경도	북위
샤흐티	주소	로스토프주
샤흐티	창립	1867년
샨어	국가	미얀마
샨어	국가	태국
샨어	어족	샨어
샬라몽타뉴	국가	프랑스
샬라몽타뉴	행정구역	낭튀아 아롱디스망
샬라몽타뉴	행정구역	오베르뉴론알프
샬럿	국가	미국
샬럿	주소	노스캐롤라이나주
샬럿타운	관할	프린스에드워드아일랜드주
샬럿타운	국가	캐나다
샬레르	국가	캐나다
샬레르	역수	27
샬레르	운영	VIA 철도
샬렝	국가	프랑스
샬렝	행정구역	부르캉브레스 아롱디스망
샬렝	행정구역	오베르뉴론알프
샵뉴질랜드	국가	뉴질랜드
샵뉴질랜드	창립	2003년
샷컷	운영체제	FreeBSD
샷컷	운영체제	리눅스
샷컷	운영체제	마이크로소프트 윈도우
샷컷	종류	영상 편집 소프트웨어
샷컷	프로그래밍언어	C
샷컷	프로그래밍언어	C++
샹도르코르셀	국가	프랑스
샹도르코르셀	행정구역	벨레 아롱디스망
샹도르코르셀	행정구역	오베르뉴론알프
샹베리	국가	프랑스
샹베리	행정구역	오베르뉴론알프
샹티이	관할	시
샹티이	국가	프랑스
서가식당	고화질방송여부	HD
서가식당	국가	대한민국
서가식당	연출가	이은미
서가식당	연출가	최윤영
서가식당	장르	I
서가식당	저자	김미희
서가식당	저자	김선경
서가식당	저자	김준영
서가식당	제작	KBS 1TV
서가식당	책임프로듀서	최성일
서가식당	출연	강승화
서가식당	출연	권해효
서가식당	출연	김태훈
서갑원	국적	대한민국
서갑원	그룹	더불어민주당
서갑원	의원선수	2
서강대교	관리	서울특별시청
서강대교	국적	대한민국
서게르만어군	국가	영국
서게르만어군	어족	게르만어파
서게르만어군	어족	서게르만어군
서게르만어군	어족	인도유럽어족
서경덕	국적	조선
서경덕	사망원인	병사
서경덕	직책	시인
서경운수	국가	대한민국
서경운수	본사위치	대한민국
서경운수	제품	마을버스
서경중학교	개교	2003년
서경중학교	관할	충청북도청주교육지원청
서경중학교	교장	김수근
서경중학교	국가	대한민국
서광계	국적	명나라
서광계	사망원인	병사
서광범	장르	시조
서광범	장르	한시
서광범	직책	문신
서광범	직책	시인
서광사	종교	조계종
서광재	국적	대한민국
서광재	사망일	대한민국
서교그룹사운드	국가	대한민국
서교그룹사운드	그룹	비트볼 뮤직
서교그룹사운드	장르	개러지 록
서교그룹사운드	장르	록
서교그룹사운드	장르	펑크 록
서교그룹사운드	장르	하드 록
서구동	법정동	광석동
서구동	법정동	금곡동
서구동	법정동	안흥동
서궁	국가	대한민국
서궁	기획	김재현
서궁	연출가	김재형
서궁	장르	드라마
서궁	제작	KBS 2TV
서궁	조연출	김유철
서궁	조연출	신창석
서궁	조연출	홍석구
서궁	출연	김규철
서궁	출연	김보성
서궁	출연	김성옥
서궁	출연	김성원
서궁	출연	김인문
서궁	출연	김종결
서궁	출연	박준금
서궁	출연	서인석
서궁	출연	신구
서궁	출연	양금석
서궁	출연	엄유신
서궁	출연	이보희
서궁	출연	이영애
서궁	출연	이한나
서궁	출연	임병기
서궁	출연	임혁
서궁	출연	임혁주
서궁	출연	장서희
서궁	출연	태민영
서궁	출연	한인수
서궁마마	국가	대한민국
서궁마마	연출가	표재순
서궁마마	장르	사극
서궁마마	출연	김보연
서궁마마	출연	김용선
서궁마마	출연	이덕화
서권순	국적	대한민국
서권순	사망일	대한민국
서권순	직책	배우
서귀북초등학교	관할	서귀포시교육지원청
서귀북초등학교	국가	대한민국
서귀중앙초등학교	관할	서귀포시교육지원청
서귀중앙초등학교	국가	대한민국
서귀포고등학교	개교	1969년
서귀포고등학교	관할	제주특별자치도교육청
서귀포고등학교	교감	고창근
서귀포고등학교	국가	대한민국
서귀포산업과학고등학교	개교	1936년
서귀포산업과학고등학교	관할	제주특별자치도교육청
서귀포산업과학고등학교	국가	대한민국
서귀포시	국가	대한민국
서귀포시교육지원청	관할	제주특별자치도교육청
서귀포시교육지원청	창립	1964년
서귀포여자중학교	관할	서귀포시교육지원청
서귀포여자중학교	국가	대한민국
서귀포중학교	관할	서귀포시교육지원청
서귀포중학교	국가	대한민국
서귀포초등학교	관할	서귀포시교육지원청
서귀포초등학교	국가	대한민국
서규용	국적	대한민국
서규용	본관	달성
서극	국적	홍콩
서극	직책	프로듀서
서기동	그룹	더불어민주당
서기석	배우자	김옥경
서기석	본관	달성
서기석	전임	이성보
서기석	후임	황찬현
서기철	국적	대한민국
서기철	직책	아나운서
서기호	국적	대한민국
서기호	그룹	정의당
서기호	본관	이천
서기호	의원선수	1
서남중학교	개교	1982년
서남중학교	관할	대구광역시서부교육지원청
서남중학교	국가	대한민국
서농초등학교	관할	경기도용인교육지원청
서농초등학교	국가	대한민국
서단비	국적	대한민국
서단비	종교	개신교
서단비	활동분야	모델
서단비	활동분야	배우
서대구고속버스터미널	공식명칭	서대구고속버스터미널
서대구고속버스터미널	국가	대한민국
서대구고속버스터미널	종류	터미널
서대문도서관	운영	서울특별시교육청
서대문도서관	창립자	서울특별시교육청
서대문역	관할	서울교통공사
서대문역	역번호	532
서대문형무소	소유자	공유
서대문형무소	시간대	대한제국
서대전역	역번호	25
서대전역	종류	보통역
서도고등학교	개교	1981년
서도고등학교	관할	인천광역시교육청
서도고등학교	교훈	성실
서도고등학교	국가	대한민국
서도영	직책	배우
서동렬	그룹	대한민국 공군본부
서동렬	복무	대한민국 공군
서동렬	수상	충무무공훈장
서동렬	종교	불교
서동렬	참전	베트남 전쟁
서동민	국적	대한민국
서동민	소속일	2014년
서동민	포지션	투수
서동주	직책	변호사
서동주	직책	작가
서동철	대학교	고려대학교
서동철	리그	KBL
서동철	포지션	감독
서동탄역	종류	보통역
서둔동	법정동	서둔동
서둔동	법정동	탑동
서드스톤	국가	대한민국
서드스톤	음반레이블	선데이디스코
서드스톤	장르	록
서드스톤	장르	블루스 록
서드스톤	장르	하드 록
서라벌고등학교	개교	1956년
서라벌고등학교	관할	서울특별시교육청
서라벌고등학교	교장	김상덕
서라벌고등학교	국가	대한민국
서라벌여자중학교	개교	1981년
서라벌여자중학교	관할	경상북도경주교육지원청
서라벌여자중학교	국가	대한민국
서라벌중학교	개교	1956년
서라벌중학교	관할	서울특별시성북강북교육지원청
서라벌중학교	국가	대한민국
서라벌초등학교	교장	이재곤
서라벌초등학교	국가	대한민국
서령고등학교	개교	1956년
서령고등학교	관할	충청남도교육청
서령고등학교	교장	한승택
서령고등학교	국가	대한민국
서령중학교	개교	1956년
서령중학교	관할	충청남도서산교육지원청
서령중학교	교장	김영화
서령중학교	국가	대한민국
서린바이오사이언스	국가	대한민국
서린바이오사이언스	본사위치	대한민국
서린바이오사이언스	사업내용	서비스
서린바이오사이언스	산업	생물공학
서림고등학교	개교	1983년
서림고등학교	관할	전라북도교육청
서림고등학교	국가	대한민국
서림여자중학교	개교	1964년
서림여자중학교	관할	충청남도서천교육지원청
서림여자중학교	교장	김곤
서림여자중학교	국가	대한민국
서명선	국적	조선
서명선	사망일	1728년
서명식	출생지	대한민국
서명식	포지션	수비수
서명초등학교	관할	부산광역시동래교육지원청
서명초등학교	국가	대한민국
서모닝	국가	오스트리아
서모닝	장르	블랙 메탈
서문경	국적	대한민국
서문경	직책	배우
서문여자고등학교	개교	1973년
서문여자고등학교	관할	서울특별시교육청
서문여자고등학교	국가	대한민국
서문탁	국적	대한민국
서문탁	본명	이수진
서문탁	장르	모던 록
서문탁	장르	팝 록
서문탁	직책	가수
서미영	국적	대한민국
서미영	사망일	대한민국
서미영	직책	배우
서미정	국가	대한민국
서미정	그룹	강원도청
서민갑부	국가	대한민국
서민갑부	장르	교양
서민갑부	제작	채널A
서민수	국적	대한민국
서민수	리그	KBL
서민수	신장	197
서민수	체중	92
서민수	포지션	포워드
서민정	국적	대한민국
서민정	데뷔일	2000년
서민정	종교	개신교
서민정	활동분야	배우
서바게부!	권수	6
서바게부!	연재	나카요시
서바게부!	장르	액션
서바게부!	장르	일상
서바게부!	제작	AT-X
서바게부!	제작	SUN
서바게부!	출판사	고단샤
서버비콘	감독	조지 클루니
서버비콘	국가	미국
서버비콘	배급	영화사 진진
서버비콘	배급	파라마운트 픽쳐스
서버비콘	언어	영어
서버비콘	음악	알렉상드르 데스플라
서버비콘	저자	그랜트 헤슬로브
서버비콘	저자	조지 클루니
서버비콘	제작	그랜트 헤슬로브
서버비콘	제작	다크 캐슬 엔터테인먼트
서버비콘	제작	실버 픽처스
서버비콘	제작	조지 클루니
서버비콘	촬영	로버트 엘스윗
서버비콘	출연	맷 데이먼
서버비콘	출연	줄리앤 무어
서범식	국적	대한민국
서범식	사망일	대한민국
서범식	직책	배우
서베를린	언어	독일어
서베를린	통화	독일 마르크
서벽준	국적	대한민국
서벽준	그룹	클로버컴퍼니
서벽준	직책	배우
서벽초등학교	관할	경상북도봉화교육지원청
서벽초등학교	국가	대한민국
서변남로	개통	1993년
서병기	국적	대한민국
서병기	사망일	서울특별시
서병기	장르	평론
서병기	직책	시사평론가
서병수	국적	대한민국
서병수	그룹	자유한국당
서병수	본관	달성
서병수	의원선수	4
서병수	전임	허남식
서병수	종교	불교
서병수	후임	오거돈
서병후	언어	영어
서병후	언어	한국어
서병후	장르	번역
서병후	장르	수필
서병후	장르	시
서병후	장르	작사
서병후	장르	평론
서병후	직책	기업가
서병후	직책	시인
서병후	직책	칼럼니스트
서부광역철도	국가	대한민국
서부광역철도	모기관	현대자동차그룹
서부광역철도	본사위치	대한민국
서부광역철도	주주	현대건설
서부산공업고등학교	개교	1996년
서부산공업고등학교	관할	부산광역시교육청
서부산공업고등학교	교감	이재훈
서부산공업고등학교	교장	최현주
서부산공업고등학교	국가	대한민국
서부정류장역	관할	대구도시철도공사
서부정류장역	역번호	123
서부해군사령부	국가	인도
서부해군사령부	그룹	인도 해군
서북도서방위사령부	국가	대한민국
서북도서방위사령부	그룹	대한민국 국방부
서북도서방위사령부	그룹	대한민국 해병대
서북도서방위사령부	명령체계	대한민국 해군
서북운수	국가	대한민국
서북운수	본사위치	대한민국
서북운수	제품	마을버스
서북운수	하위기관	대호운수
서북운수	하위기관	백마운수
서북운수	하위기관	서북교통
서북청년	감독	고영남
서북청년	국가	대한민국
서북청년	시간	90분
서북청년	언어	한국어
서브라임	국가	미국
서브라임	장르	스카 펑크
서브라임	장르	얼터너티브 록
서브립	언어	영어
서브립	운영체제	마이크로소프트 윈도우
서브립	프로그래밍언어	델파이
서브머전스	국가	미국
서브머전스	국가	스페인
서브머전스	국가	프랑스
서브머전스	언어	영어
서브머전스	출연	알리시아 비칸데르
서브머전스	출연	제임스 맥어보이
서빙고동	법정동	서빙고동
서빙고동	법정동	주성동
서사리원역	종류	폐역
서사리원역	폐지일시	1963년
서산고등학교	개교	1972년
서산고등학교	관할	충청남도교육청
서산고등학교	교감	원종덕
서산고등학교	국가	대한민국
서산공용버스터미널	공식명칭	서산공용버스터미널
서산공용버스터미널	국가	대한민국
서산공용버스터미널	종류	터미널
서산대진초등학교	관할	충청남도서산교육지원청
서산대진초등학교	국가	대한민국
서산동문초등학교	관할	충청남도서산교육지원청
서산동문초등학교	국가	대한민국
서산비행장	소유자	대한민국 공군
서산비행장	시간대	한국 표준시
서산비행장	운영	대한민국 공군
서산비행장	주소	충청남도
서산비행장	창립	1997년
서산석림초등학교	관할	충청남도서산교육지원청
서산석림초등학교	국가	대한민국
서산성봉학교	관할	충청남도교육청
서산성봉학교	국가	대한민국
서산소방서	관할	충청남도 소방본부
서산소방서	국가	대한민국
서산소방서	완공	1990년
서산시	국가	대한민국
서산시	주소	충청남도
서산여자중학교	개교	1927년
서산여자중학교	관할	충청남도서산교육지원청
서산여자중학교	교장	김미영
서산여자중학교	국가	대한민국
서산중학교	개교	1946년
서산중학교	관할	충청남도서산교육지원청
서산중학교	교장	전영택
서산중학교	국가	대한민국
서산초등학교	교장	이은미
서산초등학교	국가	대한민국
서상고등학교	개교	1973년
서상고등학교	관할	경상남도교육청
서상고등학교	국가	대한민국
서상린	국적	대한민국
서상린	그룹	민주공화당
서상린	복무	대한민국 육군
서상민	출생지	대한민국
서생초등학교	관할	울산광역시강남교육지원청
서생초등학교	국가	대한민국
서서울고속도로	국가	대한민국
서서울고속도로	매출액	381
서서울고속도로	모기관	코오롱그룹
서서울고속도로	본사위치	대한민국
서서울고속도로	순이익	284
서석고등학교	개교	1968년
서석고등학교	관할	강원도교육청
서석고등학교	국가	대한민국
서석구	국적	대한민국
서석구	대통령	전두환
서석중학교	개교	1952년
서석중학교	관할	강원도홍천교육지원청
서석중학교	국가	대한민국
서선주	국적	대한민국
서선주	사망일	대한민국
서선초등학교	관할	경상북도안동교육지원청
서선초등학교	국가	대한민국
서성광	국적	대한민국
서성광	직책	배우
서성금	거주지	서울특별시
서성금	국적	대한민국
서성금	데뷔일	2005년
서세원쇼	국가	대한민국
서세원쇼	시간	60분
서세원쇼	연출가	김호상
서세원쇼	저자	이현숙
서세원쇼	제작	KBS 2TV
서세원쇼	출연	서세원
서소문고가도로	관리	서울특별시청
서소문고가도로	국적	대한민국
서수남	장르	컨트리 음악
서수남	직책	싱어송라이터
서수남	직책	영화배우
서수남	직책	작가
서수원시외버스터미널	국가	대한민국
서수원시외버스터미널	종류	터미널
서수초등학교	관할	전라북도군산교육지원청
서수초등학교	국가	대한민국
서숙향	국적	대한민국
서숙향	장르	텔레비전 드라마
서숙향	직책	작가
서승화	국적	대한민국
서승화	소속일	2002년
서승화	포지션	투수
서승환	국적	대한민국
서승환	그룹	무소속
서승환	대통령	박근혜
서승환	종교	개신교
서승휘	국적	대한민국
서승휘	그룹	한국방송 성우극회
서신도서관	운영	전주시
서신도서관	창립자	전주시
서신면	법정리	궁평리
서신면	법정리	용두리
서신면	법정리	전곡리
서신애	그룹	다인엔터테인먼트
서신애	직책	배우
서신중학교	개교	1949년
서신중학교	관할	경기도화성오산교육지원청
서신중학교	교장	김향화
서신중학교	국가	대한민국
서야고등학교	개교	1958년
서야고등학교	관할	충청남도교육청
서야고등학교	교장	김인섭
서야고등학교	국가	대한민국
서야중학교	개교	1966년
서야중학교	관할	충청남도당진교육지원청
서야중학교	교감	한백희
서야중학교	교장	김인섭
서야중학교	국가	대한민국
서양호	그룹	더불어민주당
서양호	전임	최창식
서양호	출생지	대한민국
서연미	국적	대한민국
서연미	직책	아나운서
서연수	악기	기타
서연수	장르	포크 록
서연수	직책	기타 연주자
서연수	직책	싱어송라이터
서연이화	국가	대한민국
서연이화	본사위치	대한민국
서연이화	산업	지주회사
서연이화	창립자	유희춘
서연인테크	국가	대한민국
서연인테크	본사위치	대한민국
서연인테크	제품	버스
서연인테크	주소	대한민국
서연중학교	개교	1985년
서연중학교	관할	서울특별시서부교육지원청
서연중학교	국가	대한민국
서연지	국적	대한민국
서연지	사망일	서울특별시
서연지	종교	기독교
서영교	국적	대한민국
서영교	그룹	교육위원회
서영교	그룹	더불어민주당
서영교	의원선수	2
서영교	종교	불교
서영우	국가	대한민국
서영우	국적	대한민국
서영우	스승	이용
서영운수	국가	대한민국
서영운수	본사위치	대한민국
서영운수	제품	마을버스
서영재	포지션	수비수
서영주	국적	대한민국
서영주	직책	배우
서영춘	배우자	이영옥
서영춘	사망일	대한민국
서영춘	사망일	일제 강점기
서영춘	종교	불교
서영춘	직책	배우
서영화	국적	대한민국
서영화	사망일	대한민국
서영훈	국적	대한민국
서영훈	그룹	무소속
서영훈	본관	달성
서영훈	의원선수	1
서예슬	국적	대한민국
서예슬	그룹	씨그널엔터테인먼트그룹
서예슬	직책	배우
서예안	국적	대한민국
서예안	장르	발라드
서예안	장르	팝
서예안	직책	가수
서예원	복무	조선군
서예원	본관	이천
서예원	참전	임진왜란
서예원	참전	제1차 진주성 전투
서예원	참전	제2차 진주성 전투
서예일	국적	대한민국
서예일	소속일	2016년
서예일	포지션	2루수
서예일	포지션	유격수
서예일	학력	동국대학교
서요	언어	거란어
서요	정부	군주제
서요	종교	불교
서요	종교	이슬람교
서용교	국적	대한민국
서용교	그룹	자유한국당
서용교	의원선수	1
서용주	국적	대한민국
서용주	소속일	2013년
서용주	포지션	외야수
서우	국적	대한민국
서우	직책	배우
서우림	국적	대한민국
서우림	사망일	일제 강점기
서우림	종교	불교
서우림	직책	영화배우
서우진	국적	대한민국
서우진	직책	배우
서운면	법정리	송산리
서운면	법정리	송정리
서운면	법정리	신기리
서운면	법정리	신촌리
서운면	법정리	신흥리
서운면	법정리	양촌리
서울가동초등학교	관할	서울특별시강동송파교육지원청
서울가동초등학교	국가	대한민국
서울가락초등학교	관할	서울특별시강동송파교육지원청
서울가락초등학교	국가	대한민국
서울가인초등학교	관할	서울특별시북부교육지원청
서울가인초등학교	국가	대한민국
서울갈현초등학교	관할	서울특별시서부교육지원청
서울갈현초등학교	국가	대한민국
서울강남소방서	관할	서울특별시 소방재난본부
서울강남소방서	국가	대한민국
서울강남소방서	완공	1976년
서울강남지구	관할	세곡동
서울강남지구	관할	율현동
서울강남지구	국가	대한민국
서울강남초등학교	관할	서울특별시동작관악교육지원청
서울강남초등학교	교장	김진경
서울강남초등학교	국가	대한민국
서울강덕초등학교	개교	1987년
서울강덕초등학교	관할	서울특별시강동송파교육지원청
서울강덕초등학교	국가	대한민국
서울강명초등학교	개교	2011년
서울강명초등학교	관할	서울특별시강동송파교육지원청
서울강명초등학교	교장	최영욱
서울강명초등학교	국가	대한민국
서울강솔초등학교	관할	서울특별시강동송파교육지원청
서울강솔초등학교	국가	대한민국
서울강일초등학교	개교	1993년
서울강일초등학교	관할	서울특별시강동송파교육지원청
서울강일초등학교	국가	대한민국
서울개롱초등학교	관할	서울특별시강동송파교육지원청
서울개롱초등학교	국가	대한민국
서울개명초등학교	관할	서울특별시남부교육지원청
서울개명초등학교	국가	대한민국
서울개봉초등학교	관할	서울특별시남부교육지원청
서울개봉초등학교	국가	대한민국
서울개운초등학교	교감	김은숙
서울개운초등학교	국가	대한민국
서울개운초등학교	직원	63
서울개원초등학교	교장	김혜경
서울개원초등학교	국가	대한민국
서울거여초등학교	관할	서울특별시강동송파교육지원청
서울거여초등학교	국가	대한민국
서울경동초등학교	관할	서울특별시성동광진교육지원청
서울경동초등학교	국가	대한민국
서울경수초등학교	관할	서울특별시성동광진교육지원청
서울경수초등학교	국가	대한민국
서울경인초등학교	교감	이경희
서울경인초등학교	국가	대한민국
서울경제	국가	대한민국
서울경제	언어	한국어
서울계상초등학교	관할	서울특별시북부교육지원청
서울계상초등학교	국가	대한민국
서울고덕초등학교	관할	서울특별시강동송파교육지원청
서울고덕초등학교	교장	윤복희
서울고덕초등학교	국가	대한민국
서울고등학교	개교	1946년
서울고등학교	관할	서울특별시교육청
서울고등학교	국가	대한민국
서울고속도로	국가	대한민국
서울고속도로	순이익	252
서울고원초등학교	관할	서울특별시남부교육지원청
서울고원초등학교	국가	대한민국
서울고은초등학교	관할	서울특별시서부교육지원청
서울고은초등학교	국가	대한민국
서울고척초등학교	관할	서울특별시남부교육지원청
서울고척초등학교	국가	대한민국
서울공덕초등학교	관할	서울특별시교육청
서울공덕초등학교	국가	대한민국
서울공릉초등학교	관할	서울특별시북부교육지원청
서울공릉초등학교	국가	대한민국
서울공업고등학교	개교	1899년
서울공업고등학교	관할	서울특별시교육청
서울공업고등학교	국가	대한민국
서울공연초등학교	관할	서울특별시북부교육지원청
서울공연초등학교	국가	대한민국
서울공항리무진	국가	대한민국
서울공항리무진	본사위치	대한민국
서울공항리무진	제품	공항버스
서울공항리무진	하위기관	서울버스
서울과학고등학교	개교	1989년
서울과학고등학교	관할	서울특별시교육청
서울과학고등학교	국가	대한민국
서울과학기술대학교	국가	대한민국
서울과학기술대학교	상징	소나무
서울과학기술대학교	창립	1910년
서울과학기술대학교	총장	김종호
서울관광고등학교	개교	1978년
서울관광고등학교	관할	서울특별시교육청
서울관광고등학교	국가	대한민국
서울관악소방서	관할	서울특별시 소방재난본부
서울관악소방서	국가	대한민국
서울관악소방서	완공	1994년
서울광남중학교	교장	이봉조
서울광남중학교	국가	대한민국
서울광남초등학교	국가	대한민국
서울광진소방서	관할	서울특별시 소방재난본부
서울광진소방서	국가	대한민국
서울광진소방서	완공	1946년
서울광진초등학교	관할	서울특별시성동광진교육지원청
서울광진초등학교	국가	대한민국
서울광희초등학교	관할	서울특별시중부교육지원청
서울광희초등학교	국가	대한민국
서울교통네트웍	국가	대한민국
서울교통네트웍	모기관	흥안운수
서울교통네트웍	본사위치	대한민국
서울교통네트웍	하위기관	관악교통
서울교통네트웍	하위기관	삼화상운
서울구로소방서	관할	금천구
서울구로소방서	관할	서울특별시 소방재난본부
서울구로소방서	국가	대한민국
서울구로소방서	완공	1992년
서울구산초등학교	관할	서울특별시서부교육지원청
서울구산초등학교	교감	신영숙
서울구산초등학교	교감	최미경
서울구산초등학교	교장	강성현
서울구산초등학교	국가	대한민국
서울구암초등학교	관할	서울특별시동작관악교육지원청
서울구암초등학교	국가	대한민국
서울구의초등학교	관할	서울특별시성동광진교육지원청
서울구의초등학교	국가	대한민국
서울구현초등학교	관할	서울특별시서부교육지원청
서울구현초등학교	국가	대한민국
서울국제고등학교	개교	2008년
서울국제고등학교	관할	서울특별시교육청
서울국제고등학교	국가	대한민국
서울군자초등학교	관할	서울특별시동부교육지원청
서울군자초등학교	국가	대한민국
서울금나래초등학교	관할	서울특별시남부교육지원청
서울금나래초등학교	국가	대한민국
서울금동초등학교	관할	서울특별시남부교육지원청
서울금동초등학교	국가	대한민국
서울금산초등학교	관할	서울특별시남부교육지원청
서울금산초등학교	국가	대한민국
서울금옥초등학교	관할	서울특별시성동광진교육지원청
서울금옥초등학교	국가	대한민국
서울금융고등학교	개교	1985년
서울금융고등학교	관할	서울특별시교육청
서울금융고등학교	교감	황영희
서울금융고등학교	교장	박상철
서울금융고등학교	국가	대한민국
서울금천초등학교	개교	1984년
서울금천초등학교	관할	서울특별시남부교육지원청
서울금천초등학교	국가	대한민국
서울금호초등학교	관할	서울특별시성동광진교육지원청
서울금호초등학교	국가	대한민국
서울금화초등학교	관할	서울특별시서부교육지원청
서울금화초등학교	국가	대한민국
서울기독대학교	국가	대한민국
서울기독대학교	창립	1937년
서울길동초등학교	관할	서울특별시강동송파교육지원청
서울길동초등학교	국가	대한민국
서울난곡초등학교	관할	서울특별시동작관악교육지원청
서울난곡초등학교	교장	김연숙
서울난곡초등학교	국가	대한민국
서울난우초등학교	관할	서울특별시동작관악교육지원청
서울난우초등학교	국가	대한민국
서울난향초등학교	관할	서울특별시동작관악교육지원청
서울난향초등학교	국가	대한민국
서울남명초등학교	교감	박기호
서울남명초등학교	국가	대한민국
서울남부교도소	관할	서울지방교정청
서울남부교도소	국가	대한민국
서울남부교도소	완공	1968년
서울남부버스터미널	국가	대한민국
서울남부버스터미널	종류	터미널
서울남사초등학교	관할	서울특별시동작관악교육지원청
서울남사초등학교	국가	대한민국
서울남산초등학교	관할	서울특별시중부교육지원청
서울남산초등학교	교감	김혜숙
서울남산초등학교	교장	이문수
서울남산초등학교	국가	대한민국
서울남성초등학교	관할	서울특별시동작관악교육지원청
서울남성초등학교	국가	대한민국
서울남정초등학교	관할	서울특별시중부교육지원청
서울남정초등학교	교장	김애경
서울남정초등학교	국가	대한민국
서울남천초등학교	관할	서울특별시강동송파교육지원청
서울남천초등학교	국가	대한민국
서울노량진초등학교	관할	서울특별시동작관악교육지원청
서울노량진초등학교	국가	대한민국
서울노원초등학교	관할	서울특별시북부교육지원청
서울노원초등학교	국가	대한민국
서울노일초등학교	관할	서울특별시북부교육지원청
서울노일초등학교	국가	대한민국
서울녹번초등학교	관할	서울특별시서부교육지원청
서울녹번초등학교	국가	대한민국
서울녹천초등학교	관할	서울특별시북부교육지원청
서울녹천초등학교	국가	대한민국
서울누원초등학교	관할	서울특별시북부교육지원청
서울누원초등학교	교장	이성희
서울누원초등학교	국가	대한민국
서울다솜관광고등학교	관할	서울특별시교육청
서울다솜관광고등학교	교감	김명환
서울다솜관광고등학교	국가	대한민국
서울답십리초등학교	관할	서울특별시동부교육지원청
서울답십리초등학교	국가	대한민국
서울답십리초등학교	상징	느티나무
서울답십리초등학교	상징	독수리
서울답십리초등학교	상징	장미
서울당곡초등학교	관할	서울특별시동작관악교육지원청
서울당곡초등학교	국가	대한민국
서울당산중학교	교장	이한숙
서울당산중학교	국가	대한민국
서울당현초등학교	관할	서울특별시북부교육지원청
서울당현초등학교	국가	대한민국
서울대도초등학교	관할	서울특별시교육청
서울대도초등학교	국가	대한민국
서울대동초등학교	관할	서울특별시남부교육지원청
서울대동초등학교	국가	대한민국
서울대림초등학교	관할	서울특별시동작관악교육지원청
서울대림초등학교	국가	대한민국
서울대방초등학교	관할	서울특별시남부교육지원청
서울대방초등학교	국가	대한민국
서울대은초등학교	관할	서울특별시서부교육지원청
서울대은초등학교	국가	대한민국
서울대입구역	관할	서울교통공사
서울대입구역	역번호	228
서울대조초등학교	관할	서울특별시서부교육지원청
서울대조초등학교	국가	대한민국
서울대진초등학교	교장	김진희
서울대진초등학교	국가	대한민국
서울대치초등학교	교장	박광수
서울대치초등학교	국가	대한민국
서울대학교	국가	대한민국
서울대학교	상징	느티나무
서울대학교	창립	1946년
서울대학교치과병원	관할	서울대학교
서울대학교치과병원	국가	대한민국
서울덕수초등학교	관할	서울특별시중부교육지원청
서울덕수초등학교	국가	대한민국
서울덕암초등학교	관할	서울특별시북부교육지원청
서울덕암초등학교	국가	대한민국
서울덕의초등학교	관할	서울특별시남부교육지원청
서울덕의초등학교	교감	윤경희
서울덕의초등학교	국가	대한민국
서울도림초등학교	관할	서울특별시남부교육지원청
서울도림초등학교	국가	대한민국
서울도봉소방서	관할	서울특별시 소방재난본부
서울도봉소방서	국가	대한민국
서울도봉소방서	완공	1989년
서울도봉초등학교	관할	서울특별시북부교육지원청
서울도봉초등학교	국가	대한민국
서울도서관	운영	서울특별시청
서울도서관	창립자	서울특별시청
서울도성초등학교	관할	서울특별시교육청
서울도성초등학교	국가	대한민국
서울도신초등학교	관할	서울특별시남부교육지원청
서울도신초등학교	국가	대한민국
서울독립문초등학교	관할	서울특별시중부교육지원청
서울독립문초등학교	교감	이민수
서울독립문초등학교	국가	대한민국
서울독산초등학교	관할	서울특별시남부교육지원청
서울독산초등학교	국가	대한민국
서울동교초등학교	관할	서울특별시교육청
서울동교초등학교	교장	엄용수
서울동교초등학교	국가	대한민국
서울동구로초등학교	관할	서울특별시남부교육지원청
서울동구로초등학교	국가	대한민국
서울동답초등학교	관할	서울특별시동부교육지원청
서울동답초등학교	국가	대한민국
서울동대문소방서	관할	서울특별시 소방재난본부
서울동대문소방서	국가	대한민국
서울동대문소방서	완공	1986년
서울동명초등학교	관할	서울특별시성동광진교육지원청
서울동명초등학교	국가	대한민국
서울동부구치소	관할	서울지방교정청
서울동부구치소	국가	대한민국
서울동부구치소	완공	1977년
서울동신초등학교	교장	김진화
서울동신초등학교	국가	대한민국
서울동의초등학교	관할	서울특별시성동광진교육지원청
서울동의초등학교	국가	대한민국
서울동일초등학교	관할	서울특별시북부교육지원청
서울동일초등학교	국가	대한민국
서울동자초등학교	관할	서울특별시성동광진교육지원청
서울동자초등학교	국가	대한민국
서울동작초등학교	관할	서울특별시동작관악교육지원청
서울동작초등학교	국가	대한민국
서울동천학교	관할	서울특별시교육청
서울동천학교	국가	대한민국
서울두산초등학교	관할	서울특별시남부교육지원청
서울두산초등학교	국가	대한민국
서울디자인전문학교	국가	대한민국
